,Comp,File,Line,Spkr,StTime,Content,EnTime,inv
48.3,DCA,DCA_se1_ag1_f_01_1,183,DCA_se1_ag1_f_01,197.8384,some- some children be on one team,199.9916,1
48.5,DCA,DCA_se1_ag1_f_01_1,185,DCA_se1_ag1_f_01,200.3086,and some be on another-,201.5536,1
128.3,DCA,DCA_se1_ag1_f_01_1,439,DCA_se1_ag1_f_01,502.6921,"every time you be bad, she'll holler at you.",505.2089,1
288.1,DCA,DCA_se1_ag1_f_01_1,843,DCA_se1_ag1_f_01,1044.8825,"Sometime I be with uh,",1046.4259,1
10.328,DCA,DCA_se1_ag1_f_02_1,29,DCA_se1_ag1_f_02,29.3533,Sometime I just be at home.,30.7662,1
20.3,DCA,DCA_se1_ag1_f_02_1,73,DCA_se1_ag1_f_02,68.249,"Two people be at each end, /carrying/ a rope like this.",70.7389,1
48.31,DCA,DCA_se1_ag1_f_02_1,213,DCA_se1_ag1_f_02,224.4868,a girl be standing way far from away from me. And- and two people- a lot of people be standing back.,229.3863,1
144.7,DCA,DCA_se1_ag1_f_02_1,650,DCA_se1_ag1_f_02,671.0269,"The Monday night, Tuesday night [movies.] /Like if/ anything be on good.",674.4914,1
328.6,DCA,DCA_se1_ag1_f_02_1,1229,DCA_se1_ag1_f_02,1333.1858,and told him that they be writing back to him.,1335.2235,1
461.2,DCA,DCA_se1_ag1_f_02_1,1708,DCA_int_04,1890.3185,Can anybody just be in that group or-,1892.3515,1
498.3,DCA,DCA_se1_ag1_f_02_1,1838,DCA_se1_ag1_f_02,2066.2856,I be over with my friends.,2067.7264,1
20.51,DCA,DCA_se1_ag1_f_03_1,47,DCA_se1_ag1_f_03,71.8093,that- that person be what he was at first.,74.5045,1
24.51,DCA,DCA_se1_ag1_f_03_1,60,DCA_se1_ag1_f_03,85.4274,"and if the last person that don't say, not it, that's the one that be it.",88.9281,1
34.4,DCA,DCA_se1_ag1_f_03_1,81,DCA_se1_ag1_f_03,119.5622,"/at um,/ the last person that I said a word on, that's the one be it.",122.691,1
76.211,DCA,DCA_se1_ag1_f_03_1,204,DCA_se1_ag1_f_03,300.1917,"If I be doing something, they don't like it. Like if I talk a lot or chew gum or something, they'll holler at me and like, if I [fuss back] at them,",306.7513,1
30.71,DCA,DCA_se1_ag1_f_04_1,164,DCA_se1_ag1_f_04,162.2188,well they be throwing it to the su- su- a sugar ball and if you be k- caught,165.7491,1
30.91,DCA,DCA_se1_ag1_f_04_1,166,DCA_se1_ag1_f_04,166.489,they be throwing you to the trash can.,168.1687,1
42.111,DCA,DCA_se1_ag1_f_04_1,263,DCA_se1_ag1_f_04,265.2618,"and somebody be up,",266.8215,1
42.151,DCA,DCA_se1_ag1_f_04_1,267,DCA_se1_ag1_f_04,268.6711,and we be down at the next corner.,270.5708,1
64.33,DCA,DCA_se1_ag1_f_04_1,418,DCA_se1_ag1_f_04,420.4221,And the person who get the last one be first.,422.6877,1
88,DCA,DCA_se1_ag1_f_04_1,538,DCA_se1_ag1_f_04,586.2135,"No I don't watch 'em, I be outside.",588.1982,1
104.25,DCA,DCA_se1_ag1_f_04_1,608,DCA_se1_ag1_f_04,656.1916,"he be having um,",657.2764,1
