,"Comp","File","Line","Spkr","StTime","Content","EnTime","dneg"
"1","ATL","ATL_se0_ag1_m_01_1","67","ATL_se0_ag1_m_01","65.3846","I never really lived in Atlanta.","67.2811","0"
"2","ATL","ATL_se0_ag1_m_01_1","99","ATL_se0_ag1_m_01","111.941","it wasn't really, you know what I'm saying, like too much to do in the house.","114.7951","0"
"3","ATL","ATL_se0_ag1_m_01_1","115","ATL_se0_ag1_m_01","133.5931","all kind- I don't know, all kind of stuff, man.","135.6167","0"
"4","ATL","ATL_se0_ag1_m_01_1","141","ATL_se0_ag1_m_01","171.5127","If they not hooping, they not really-","173.0746","0"
"5","ATL","ATL_se0_ag1_m_01_1","145","ATL_se0_ag1_m_01","175.3605","they're not doing too much.","176.5294","0"
"6","ATL","ATL_se0_ag1_m_01_1","184","ATL_se0_ag1_m_01","250.8424","Nah, that's not true.","251.9569","0"
"7","ATL","ATL_se0_ag1_m_01_1","303","ATL_se0_ag1_m_01","415.5491","I went to Indiana when I was like a kid. I don't really remember that shit.","418.9102","0"
"8","ATL","ATL_se0_ag1_m_01_1","305","ATL_se0_ag1_m_01","419.0785","I don't know if it count.","420.167","0"
"9","ATL","ATL_se0_ag1_m_01_1","329","ATL_se0_ag1_m_01","448.9749","Cause, you know, we from Georgia, nigga, we don't see no snow. Y'all got a bunch of fucking snow.","452.9021","1"
"10","ATL","ATL_se0_ag1_m_01_1","343","ATL_se0_ag1_m_01","470.9949","Wasn't no snowball fight.","472.4791","1"
"11","ATL","ATL_se0_ag1_m_01_1","367","ATL_se0_ag1_m_01","509.3542","Shit, I wo- I- nah, I wouldn't have-","511.4272","0"
"12","ATL","ATL_se0_ag1_m_01_1","378","ATL_se0_ag1_m_01","524.2263","mischievous bad, not like-","526.0623","0"
"13","ATL","ATL_se0_ag1_m_01_1","461","ATL_se0_ag1_m_01","643.0631","It ain't take too long for me to start getting in shit up there.","645.4679","0"
"14","ATL","ATL_se0_ag1_m_01_1","479","ATL_se0_ag1_m_01","669.2933","You know what I'm saying, they was just looking at that shit like, it's not like","672.059","0"
"15","ATL","ATL_se0_ag1_m_01_1","481","ATL_se0_ag1_m_01","672.3878","violent shit. It's not like, you know what I'm saying, too much disrespect or, you know what I'm saying, disobedient shit. It's just mainly like","679.3049","0"
"16","ATL","ATL_se0_ag1_m_01_1","483","ATL_se0_ag1_m_01","679.7257","I'm not going to class, [like] (laughing)","682.0335","0"
"17","ATL","ATL_se0_ag1_m_01_1","485","ATL_se0_ag1_m_01","682.554","I wasn't doing that shit. And it's like a lot of,","684.6951","0"
"18","ATL","ATL_se0_ag1_m_01_1","499","ATL_se0_ag1_m_01","704.2912","I asked that nigga, I said ay, why is everybody clapping? Cause I'm clapping too like a dumbass, you know what I'm saying. I don't know why these hoes clap.","710.5307","0"
"19","ATL","ATL_se0_ag1_m_01_1","505","ATL_se0_ag1_m_01","717.4512","I ju- I don't know, bruh. That shit-","719.1563","0"
"20","ATL","ATL_se0_ag1_m_01_1","527","ATL_se0_ag1_m_01","745.068","cause I wasn't ever in class. I-","746.7958","0"
"21","ATL","ATL_se0_ag1_m_01_1","531","ATL_se0_ag1_m_01","749.1887","they don't got cameras, they ain't gonna know.","750.6779","0"
"22","ATL","ATL_se0_ag1_m_01_1","551","ATL_se0_ag1_m_01","774.5837","And that shit mighta not even be right, like","776.6654","0"
"23","ATL","ATL_se0_ag1_m_01_1","553","ATL_se0_ag1_m_01","777.0306","I might not even had the right kind of shirt on for that shit, like (laughing)","780.0409","0"
"24","ATL","ATL_se0_ag1_m_01_1","591","ATL_se0_ag1_m_01","832.7156","You ain't been here all week.","833.9545","0"
"25","ATL","ATL_se0_ag1_m_01_1","598","ATL_se0_ag1_m_01","841.3107","they couldn't really say s- too much, you know what I'm saying. Like","843.9368","0"
"26","ATL","ATL_se0_ag1_m_01_1","608","ATL_se0_ag1_m_01","850.2618","I ain't taking no notes.","851.2678","1"
"27","ATL","ATL_se0_ag1_m_01_1","621","ATL_se0_ag1_m_01","871.0085","I don't- I didn't either, bruh. And then I learned it. I didn't want to, bruh.","874.3442","0"
"28","ATL","ATL_se0_ag1_m_01_1","664","ATL_se0_ag1_m_01","941.3659","they didn't tell me how long I was suspended. They just said don't come back to school til we sort shit out.","945.9037","0"
"29","ATL","ATL_se0_ag1_m_01_1","673","ATL_se0_ag1_m_01","956.5841","I just wasn't in school from like","958.3912","0"
"30","ATL","ATL_se0_ag1_m_01_1","683","ATL_se0_ag1_m_01","969.5753","I just wasn't in school. I was at the crib, chilling like, I-","971.9794","0"
"31","ATL","ATL_se0_ag1_m_01_1","753","ATL_se0_ag1_m_01","1076.0659","Yeah, like, you [know what I'm saying? I was just] like, oh these privileged ass nigga. They [don't wanna fight, you] know what I'm saying. I'm going to class, bruh.","1082.4538","0"
"32","ATL","ATL_se0_ag1_m_01_1","761","ATL_se0_ag1_m_01","1087.3243","I don't know. It's some-","1088.3797","0"
"33","ATL","ATL_se0_ag1_m_01_1","777","ATL_se0_ag1_m_01","1102.0171","He's a bitch ass nigga. Like, I s- I just don't fuck with him, you know what I'm saying.","1105.9094","0"
"34","ATL","ATL_se0_ag1_m_01_1","788","ATL_se0_ag1_m_01","1114.5939","you can't tell, bruh.","1116.013","0"
"35","ATL","ATL_se0_ag1_m_01_1","790","ATL_se0_ag1_m_01","1116.6871","I swear to God, you can't tell. Like all of these niggas is just like","1120.1637","0"
"36","ATL","ATL_se0_ag1_m_01_1","804","ATL_se0_ag1_m_01","1138.9986","Cause you know, you know what I'm saying, you might, it depend, bruh. Some niggas be intimidated. You can't walk around there intimidated, like,","1145.0346","0"
"37","ATL","ATL_se0_ag1_m_01_1","810","ATL_se0_ag1_m_01","1149.9981","I don't like- I- I don't walk around like that, bruh. I mind my business, you know what I'm saying. Everybody out there friendly.","1154.6859","0"
"38","ATL","ATL_se0_ag1_m_01_1","818","ATL_se0_ag1_m_01","1165.2629","You know what I'm saying, if you don't know how to-","1166.6745","0"
"39","ATL","ATL_se0_ag1_m_01_1","898","ATL_se0_ag1_m_01","1271.4922","Yeah, bruh, I wasn't cut out to be a janitor.","1273.8074","0"
"40","ATL","ATL_se0_ag1_m_01_1","900","ATL_se0_ag1_m_01","1275.2948","I wasn't made for that shit.","1276.4913","0"
