RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,white,eductation,10,male,1999-04-10,00:00:00.000,"OPRAH WINFREY: Well, this is so interesting."
0,white,eductation,10,male,1999-04-10,00:00:08.510,"I thought it was hard to believe, too."
0,white,eductation,10,male,1999-04-10,00:00:11.440,this child could add and subtract--18 months.
0,white,eductation,10,male,1999-04-10,00:00:14.980,"And by the time he was six,"
0,white,eductation,10,male,1999-04-10,00:00:16.880,he was smarter than his own parents and his parents knew it.
0,white,eductation,10,male,1999-04-10,00:00:23.990,and he flew through high school in just 22 months.
0,white,eductation,10,male,1999-04-10,00:00:27.960,But that's just the beginning.
0,white,eductation,10,male,1999-04-10,00:00:27.960,But that's just the beginning.
0,white,eductation,10,male,1999-04-10,00:00:29.790,This genius child started college.
0,white,eductation,10,male,1999-04-10,00:00:36.200,He knew the alphabet by the time he could walk.
0,white,eductation,10,male,1999-04-10,00:00:36.200,He knew the alphabet by the time he could walk.
0,white,eductation,10,male,1999-04-10,00:00:42.370,WINFREY:  He could tell you the history of the dinosaurs
0,white,eductation,10,male,1999-04-10,00:00:42.370,WINFREY:  He could tell you the history of the dinosaurs
0,white,eductation,10,male,1999-04-10,00:00:46.370,G. SMITH:  This is the Jurassic period.
0,white,eductation,10,male,1999-04-10,00:00:46.370,G. SMITH:  This is the Jurassic period.
0,white,eductation,10,male,1999-04-10,00:00:48.340,WINFREY:  Greg Smith has been on the fast track
0,white,eductation,10,male,1999-04-10,00:00:54.550,"after completing grades 9 through 11 in just months,"
0,white,eductation,10,male,1999-04-10,00:00:58.320,and he did that with honors.
0,white,eductation,10,male,1999-04-10,00:01:00.230,G. SMITH:  This is for participating
0,white,eductation,10,male,1999-04-10,00:01:01.490,in the National Honor Society.
0,white,eductation,10,male,1999-04-10,00:01:03.100,This is for being in the top 10 percent of the class.
0,white,eductation,10,male,1999-04-10,00:01:03.100,This is for being in the top 10 percent of the class.
0,white,eductation,10,male,1999-04-10,00:01:03.100,This is for being in the top 10 percent of the class.
0,white,eductation,10,male,1999-04-10,00:01:05.630,"WINFREY:  At the tender age of 10,"
0,white,eductation,10,male,1999-04-10,00:01:07.360,Greg is now the youngest freshman ever
0,white,eductation,10,male,1999-04-10,00:01:18.610,WINFREY:  But this is no joke.
0,white,eductation,10,male,1999-04-10,00:01:22.480,WINFREY:  There's physics…
0,white,eductation,10,male,1999-04-10,00:01:35.120,G. SMITH:  There's a number of books--my warfare
0,white,eductation,10,male,1999-04-10,00:01:43.560,WINFREY:  Teachers are impressed with what they see.
0,white,eductation,10,male,1999-04-10,00:01:46.460,Mr. BRUCE FRANZ:  It's wonderful to combine the intellectual
0,white,eductation,10,male,1999-04-10,00:01:48.370,"ability of an adult with the sheer unbridled curiosity,"
0,white,eductation,10,male,1999-04-10,00:01:55.380,"`Well, I really like this class and I'll do this class.'"
0,white,eductation,10,male,1999-04-10,00:01:55.380,"`Well, I really like this class and I'll do this class.'"
0,white,eductation,10,male,1999-04-10,00:02:03.010,Ms. KASSY MIES:  I think he might have a difficult
0,white,eductation,10,male,1999-04-10,00:02:05.480,time because there's times in class when people are
0,white,eductation,10,male,1999-04-10,00:02:07.450,talking about things that aren't appropriate
0,white,eductation,10,male,1999-04-10,00:02:07.450,talking about things that aren't appropriate
0,white,eductation,10,male,1999-04-10,00:02:16.120,this boy wonder is getting a little help from his mom.
0,white,eductation,10,male,1999-04-10,00:02:22.560,WINFREY:  Wow.  So if you were wondering what this
0,white,eductation,10,male,1999-04-10,00:02:50.040,china for their mom?
0,white,eductation,10,male,1999-04-10,00:02:54.570,WINFREY:  And get this.
0,white,eductation,10,male,1999-04-10,00:03:00.360,"G. SMITH:  Hmm, my favorite toy in this"
0,white,eductation,10,male,1999-04-10,00:03:03.110,"whole room--let's see, I don't call it that,"
0,white,eductation,10,male,1999-04-10,00:03:06.940,but I would say my favorite thing to play with is my computer.
0,white,eductation,10,male,1999-04-10,00:03:14.340,This is a battle that mimics Fredericksburg.
0,white,eductation,10,male,1999-04-10,00:03:14.340,This is a battle that mimics Fredericksburg.
0,white,eductation,10,male,1999-04-10,00:03:20.230,WINFREY:  Don't even think about punishing Greg
0,white,eductation,10,male,1999-04-10,00:03:24.330,G. SMITH:  That's a reward for me.  I love to study.
0,white,eductation,10,male,1999-04-10,00:03:31.240,G. SMITH:  One of the books I'm reading is ca--is by Plato.
0,white,eductation,10,male,1999-04-10,00:03:35.080,"Right now, I'm in the ""Apology"" section."
0,white,eductation,10,male,1999-04-10,00:03:41.620,G. SMITH:  I want to get three PhDs--a PhD in
0,white,eductation,10,male,1999-04-10,00:03:57.060,We believe.  We believe.  So when did you know that you
0,white,eductation,10,male,1999-04-10,00:04:01.230,were somewhat different than other kids?
0,white,eductation,10,male,1999-04-10,00:04:03.970,"G. SMITH:  Well, I always had a feeling that"
