RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,black,marriage,53,male,2021-10-13,00:00:00.000,to this day...
0,black,marriage,53,male,2021-10-13,00:00:16.158,"uh, it's the center of"
0,black,marriage,53,male,2021-10-13,00:00:25.948,together not chokin' the life
0,black,marriage,53,male,2021-10-13,00:00:29.550,It's like the ability
0,black,marriage,53,male,2021-10-13,00:00:40.888,that I-I connect with
0,black,marriage,53,male,2021-10-13,00:00:51.414,than Jada.
0,black,marriage,53,male,2021-10-13,00:01:00.195,that you laid down
0,black,marriage,53,male,2021-10-13,00:01:03.151,you had all the friends
0,black,marriage,53,male,2021-10-13,00:01:05.184,"And then you all ended up,"
0,black,marriage,53,male,2021-10-13,00:01:07.519,I think that was the thing
0,black,marriage,53,male,2021-10-13,00:01:07.519,I think that was the thing
0,black,marriage,53,male,2021-10-13,00:01:07.519,I think that was the thing
0,black,marriage,53,male,2021-10-13,00:01:07.519,I think that was the thing
0,black,marriage,53,male,2021-10-13,00:01:10.064,"there already was a wedge,"
0,black,marriage,53,male,2021-10-13,00:01:14.415,was the final moment
0,black,marriage,53,male,2021-10-13,00:01:46.029,realized that it was a--
0,black,marriage,53,male,2021-10-13,00:01:52.691,illusion that we could
0,black,marriage,53,male,2021-10-13,00:01:59.611,And we agreed that...
0,black,marriage,53,male,2021-10-13,00:02:10.513,And then we were gonna
0,black,marriage,53,male,2021-10-13,00:02:12.550,back to the relationship
0,black,marriage,53,male,2021-10-13,00:02:25.208,That should be the prerequisite
0,black,marriage,53,male,2021-10-13,00:02:25.208,That should be the prerequisite
0,black,marriage,53,male,2021-10-13,00:02:29.745,"Absolutely. It's like the,"
0,black,marriage,53,male,2021-10-13,00:02:43.949,"that when you come like that,"
0,black,marriage,53,male,2021-10-13,00:02:43.949,"that when you come like that,"
0,black,marriage,53,male,2021-10-13,00:02:45.772,the cup actually has
0,black,marriage,53,male,2021-10-13,00:02:51.442,and it goes out onto the floor.
0,black,marriage,53,male,2021-10-13,00:02:57.928,So there-there was a...
0,black,marriage,53,male,2021-10-13,00:03:00.430,"you know, we just decided that"
0,black,marriage,53,male,2021-10-13,00:03:19.741,Not thinkin' about
0,black,marriage,53,male,2021-10-13,00:03:28.166,the power of loving
0,black,marriage,53,male,2021-10-13,00:03:34.631,We agreed that we were
0,black,marriage,53,male,2021-10-13,00:03:38.093,"in this world joyfully."""
0,black,marriage,53,male,2021-10-13,00:03:43.067,The simple idea is...
0,black,marriage,53,male,2021-10-13,00:03:59.615,and you're gonna wait for them
0,black,marriage,53,male,2021-10-13,00:04:02.576,and they might not be able
0,black,marriage,53,male,2021-10-13,00:04:04.703,"and, you know, you let them go."
