RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,black,Maya Angelou,85,female,2013-05-19,00:00:09.120,THAT WAS  LIFE-CHANGING FOR ME.
0,black,Maya Angelou,85,female,2013-05-19,00:00:13.720,"THE LEGENDARY AUTHOR,  THINKER, POET,"
0,black,Maya Angelou,85,female,2013-05-19,00:00:13.720,"THE LEGENDARY AUTHOR,  THINKER, POET,"
0,black,Maya Angelou,85,female,2013-05-19,00:00:21.650,HAS TAUGHT ME  MORE THAN MAYA ANGELOU.
0,black,Maya Angelou,85,female,2013-05-19,00:00:31.150,WHAT DO YOU THINK IS
0,black,Maya Angelou,85,female,2013-05-19,00:00:33.050,THE BEST PCE OF ADVICE  YOU'VE GIVEN?
0,black,Maya Angelou,85,female,2013-05-19,00:00:46.250,AND I GOT TO SAY THIS
0,black,Maya Angelou,85,female,2013-05-19,00:00:52.320,WHAT CAN YOU SAY  ABOUT THE 80s?
0,black,Maya Angelou,85,female,2013-05-19,00:01:00.520,"PLUS, THE AHA MOMENT  THAT MOVES MAYA TO TEARS."
0,black,Maya Angelou,85,female,2013-05-19,00:01:00.520,"PLUS, THE AHA MOMENT  THAT MOVES MAYA TO TEARS."
0,black,Maya Angelou,85,female,2013-05-19,00:01:14.390,[ LAUGHS ]  THANK GOD FOR THIS.
0,black,Maya Angelou,85,female,2013-05-19,00:01:14.390,[ LAUGHS ]  THANK GOD FOR THIS.
0,black,Maya Angelou,85,female,2013-05-19,00:01:15.690,THAT'S A TWEET.
0,black,Maya Angelou,85,female,2013-05-19,00:01:21.890,WITH THE  PHENOMENAL  MAYA ANGELOU
0,black,Maya Angelou,85,female,2013-05-19,00:01:29.990,THOUGHT-PROVOKING...
0,black,Maya Angelou,85,female,2013-05-19,00:01:31.490,"OH, YOU COULDN'T  HAVE SAID THAT BETTER."
0,black,Maya Angelou,85,female,2013-05-19,00:01:36.490,THIS IS MY FAVORITE THING  TO TALK ABOUT.
